date time;hits
2022-06-18T15:58:03;12884
2022-06-18T17:55:25;12885
2022-06-18T23:56:53;12887
2022-06-19T11:55:27;12891
2022-06-19T15:58:11;12892
2022-06-19T17:55:25;12894
2022-06-19T23:56:53;12899
2022-06-20T11:55:28;12904
2022-06-20T15:58:40;12905
2022-06-20T17:55:25;12909
2022-06-20T23:55:35;12920
2022-06-21T11:55:32;12922
2022-06-21T15:57:57;12925
2022-06-21T17:55:39;12930
2022-06-21T23:55:29;12944
2022-06-22T11:55:42;12953
2022-06-22T15:57:59;12954
2022-06-22T17:55:34;12955
2022-06-22T23:57:01;12961
2022-06-23T11:55:48;12969
2022-06-23T15:58:01;12975
2022-06-23T17:55:52;12977
2022-06-23T23:55:29;12979
2022-06-24T11:55:32;13021
2022-06-24T15:58:04;13054
2022-06-24T17:55:32;13070
2022-06-24T23:55:24;13120
2022-06-25T11:55:37;13210
2022-06-25T15:58:15;13240
2022-06-25T17:55:36;13255
2022-06-25T23:55:31;13257
2022-06-26T11:55:37;13262
2022-06-26T15:58:12;13265
2022-06-26T17:55:33;13269
2022-06-26T23:55:37;13286
2022-06-27T11:55:33;13290
2022-06-27T15:58:07;13296
2022-06-27T17:55:43;13300
2022-06-27T23:55:37;13308
2022-06-28T11:55:46;13314
2022-06-28T15:58:29;13315
2022-06-28T17:55:54;13317
2022-06-28T23:55:45;13321
2022-06-29T11:55:42;13329
2022-06-29T15:58:29;13332
2022-06-29T17:55:51;13333
2022-06-29T23:57:09;13336
2022-06-30T11:56:57;13356
2022-06-30T15:58:51;13385
2022-06-30T17:56:40;13400
2022-06-30T23:56:37;13447
2022-07-01T11:56:54;13536
2022-07-01T15:58:51;13568
2022-07-01T17:56:31;13576
2022-07-01T23:56:02;13581
2022-07-02T11:56:18;13586
2022-07-02T15:58:27;13588
2022-07-02T17:56:10;13589
2022-07-02T23:56:04;13596
2022-07-03T11:56:16;13601
2022-07-03T15:57:26;13602
2022-07-03T17:56:05;13604
2022-07-03T23:55:58;13607
2022-07-04T11:56:40;13608
2022-07-04T15:57:23;13609
2022-07-04T17:56:40;13611
2022-07-04T23:56:33;13613
2022-07-05T11:57:04;13641
2022-07-05T15:57:43;13672
2022-07-05T17:56:48;13688
2022-07-05T23:56:25;13741
2022-07-06T11:56:04;13835
2022-07-06T15:58:33;13865
2022-07-06T17:56:14;13880
2022-07-06T23:56:24;13924
2022-07-07T11:56:19;14037
2022-07-07T15:58:43;14098
2022-07-07T17:56:18;14121
2022-07-07T23:55:59;14165
2022-07-08T11:56:07;14253
2022-07-08T15:56:45;14284
2022-07-08T17:55:38;14292
2022-07-08T23:55:39;14294
2022-07-09T11:55:40;14295
2022-07-09T15:56:38;14298
2022-07-09T17:55:39;14300
2022-07-09T23:55:48;14301
2022-07-10T11:55:48;14302
2022-07-10T15:56:35;14304
2022-07-10T17:55:50;14305
2022-07-10T23:55:48;14307
2022-07-11T11:55:51;14309
2022-07-11T15:55:25;14314
2022-07-11T17:55:12;14315
2022-07-11T23:55:27;14317
2022-07-12T11:55:25;14319
2022-07-12T15:55:34;14320
2022-07-12T17:55:21;14321
2022-07-12T23:55:12;14327
2022-07-13T11:55:27;14330
2022-07-13T15:55:29;14333
2022-07-13T17:55:29;14334
2022-07-13T23:55:30;14339
